,ts_code,symbol,name,area,industry
465,001218.SZ,001218,丽臣实业,湖南,化工原料
466,001219.SZ,001219,青岛食品,山东,食品
467,001227.SZ,001227,兰州银行,甘肃,银行
468,001234.SZ,001234,泰慕士,江苏,服饰
469,001267.SZ,001267,汇绿生态,湖北,建筑工程
470,001288.SZ,001288,运机集团,四川,专用机械
471,001296.SZ,001296,长江材料,重庆,其他建材
472,001317.SZ,001317,三羊马,重庆,仓储物流
473,001696.SZ,001696,宗申动力,重庆,摩托车
474,001872.SZ,001872,招商港口,深圳,港口
475,001896.SZ,001896,豫能控股,河南,火力发电
476,001914.SZ,001914,招商积余,深圳,房产服务
477,001965.SZ,001965,招商公路,天津,路桥
478,001979.SZ,001979,招商蛇口,深圳,全国地产
479,002001.SZ,002001,新和成,浙江,化学制药
480,002002.SZ,002002,鸿达兴业,江苏,化工原料
481,002003.SZ,002003,伟星股份,浙江,服饰
482,002004.SZ,002004,华邦健康,重庆,化学制药
483,002005.SZ,002005,ST德豪,安徽,家用电器
484,002006.SZ,002006,精功科技,浙江,专用机械
485,002007.SZ,002007,华兰生物,河南,生物制药
486,002008.SZ,002008,大族激光,深圳,电器仪表
487,002009.SZ,002009,天奇股份,江苏,工程机械
488,002010.SZ,002010,传化智联,浙江,仓储物流
489,002011.SZ,002011,盾安环境,浙江,家用电器
490,002012.SZ,002012,凯恩股份,浙江,造纸
491,002013.SZ,002013,中航机电,湖北,航空
492,002014.SZ,002014,永新股份,安徽,塑料
493,002015.SZ,002015,协鑫能科,江苏,新型电力
494,002016.SZ,002016,世荣兆业,广东,区域地产
495,002017.SZ,002017,东信和平,广东,通信设备
496,002019.SZ,002019,亿帆医药,浙江,化学制药
497,002020.SZ,002020,京新药业,浙江,化学制药
498,002021.SZ,002021,ST中捷,浙江,纺织机械
499,002022.SZ,002022,科华生物,上海,医疗保健
500,002023.SZ,002023,海特高新,四川,航空
501,002024.SZ,002024,苏宁易购,江苏,电器连锁
502,002025.SZ,002025,航天电器,贵州,元器件
503,002026.SZ,002026,山东威达,山东,机械基件
504,002027.SZ,002027,分众传媒,广东,影视音像
505,002028.SZ,002028,思源电气,上海,电气设备
506,002029.SZ,002029,七匹狼,福建,服饰
507,002030.SZ,002030,达安基因,广东,医疗保健
508,002031.SZ,002031,巨轮智能,广东,汽车配件
509,002032.SZ,002032,苏泊尔,浙江,家用电器
510,002033.SZ,002033,丽江股份,云南,旅游景点
511,002034.SZ,002034,旺能环境,浙江,环境保护
512,002035.SZ,002035,华帝股份,广东,家用电器
513,002036.SZ,002036,联创电子,江西,元器件
514,002037.SZ,002037,保利联合,贵州,化工原料
515,002038.SZ,002038,双鹭药业,北京,生物制药
516,002039.SZ,002039,黔源电力,贵州,水力发电
517,002040.SZ,002040,南京港,江苏,港口
518,002041.SZ,002041,登海种业,山东,种植业
519,002042.SZ,002042,华孚时尚,安徽,纺织
520,002043.SZ,002043,兔宝宝,浙江,其他建材
521,002044.SZ,002044,美年健康,江苏,医疗保健
522,002045.SZ,002045,国光电器,广东,元器件
523,002046.SZ,002046,国机精工,河南,机械基件
524,002047.SZ,002047,宝鹰股份,深圳,装修装饰
525,002048.SZ,002048,宁波华翔,浙江,汽车配件
526,002049.SZ,002049,紫光国微,河北,元器件
527,002050.SZ,002050,三花智控,浙江,家用电器
